Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,Time necessary to reach 20 exposures [s],S/N overall median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
KELT-10 b,2020-06-20 04:52:09.346232,True,3.7439999999999998 h,21,13660.0,91.75985013448178,91.0509282554167,92.28927425515744,640.0,640.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : KELT-10 b,2020-06-20 02:59:50.146232,1.301179098697975,144.52022667842851,166.2634573409867,134.93295288085938,50.2224006652832
Eclipse Mid,2020-06-20 04:52:09.346232,1.101405547407391,145.48211680106786,167.1817432281481,157.7753448486328,65.220947265625
Eclipse End,2020-06-20 06:44:28.546232,1.1055363194561427,146.45127365822003,168.10160657776373,203.996826171875,64.76117706298828
