Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
WASP-107 b,2020-05-28 00:53:37.264005,True,2.7527999999999997 h,26,92.71351119886344,0.0,150.72675407443398,380.0,380.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : WASP-107 b,2020-05-27 23:31:02.224005,1.0952507571070988,63.8913416673481,61.72925870702931,56.91791534423828,65.92790222167969
Eclipse Mid,2020-05-28 00:53:37.264005,1.0323137547890076,63.298773128779885,62.25712140876748,358.49615478515625,75.62641906738281
Eclipse End,2020-05-28 02:16:12.304005,1.1002968088006677,62.61522710547306,62.87750695416246,301.9472351074219,65.3463134765625
