,Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
1,WASP-85 A b,2020-06-06 00:55:52.575046,True,0.10816 d,20,90.31888568953434,"(0.0, 0.0)",0.0,450.0,450.0
0,KELT-10 b,2020-06-20 04:52:09.346232,True,0.156 d,21,92.2928726009487,"(0.0, 0.0)",0.0,640.0,640.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : KELT-10 b,2020-06-20 02:59:50.146232,1.301179098697975,144.52022667842851,166.2634573409867,134.93295288085938,50.2224006652832
Eclipse Mid,2020-06-20 04:52:09.346232,1.101405547407391,145.48211680106786,167.1817432281481,157.7753448486328,65.220947265625
Eclipse End,2020-06-20 06:44:28.546232,1.1055363194561427,146.45127365822003,168.10160657776373,203.996826171875,64.76117706298828
Eclipse Begin : WASP-85 A b,2020-06-05 23:38:00.063046,1.1690557179143746,85.04113308566025,2.6402126089383136,354.66986083984375,58.802982330322266
Eclipse Mid,2020-06-06 00:55:52.575046,1.2675748304730836,85.73026381765597,3.293517115723728,322.1554260253906,52.08358383178711
Eclipse End,2020-06-06 02:13:45.087046,1.5965867900395645,86.33147613537724,3.9686069914205135,301.7957763671875,38.78032302856445
