Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
WASP-140 b,2020-11-26 03:12:59.182360,5.04e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
WASP-140 b,2020-10-01 05:39:11.408450,3.04e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
WASP-140 b,2020-09-22 07:00:38.892477,2.7199999999999997e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
WASP-140 b,2020-09-13 08:22:11.766242,2.4e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
WASP-140 b,2020-11-17 04:33:35.540083,4.7199999999999995e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
WASP-140 b,2020-12-05 01:52:31.868656,5.3599999999999995e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
GJ 357 b,2020-12-26 07:16:14.337139,0.00352 d,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,1058.0
WASP-140 b,2021-01-03 03:31:59.733528,6.4e-05 d,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4232.0
GJ 357 b,2020-12-30 05:36:04.380187,0.0036000000000000003 d,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,1058.0
TOI-270 b,2020-12-20 02:11:09.107634,0.003185 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
TOI-270 b,2020-12-03 06:58:07.206828,0.0028599999999999997 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
TOI-270 b,2020-11-23 05:02:23.559426,0.002665 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
TOI-270 b,2020-11-13 03:06:44.443478,0.00247 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
TOI-270 b,2020-10-27 07:54:09.738875,0.0021449999999999998 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
LTT 1445 A b,2020-09-22 05:02:42.127385,0.0042 d,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2205.0
TOI-270 b,2020-12-30 04:07:02.924797,0.0033799999999999998 d,1.3870008 h,3386.0 K,9.099,21,90.75943557587073,0.0,156.33592570258094,230,230,3528.0
LTT 1445 A b,2020-11-04 01:54:55.298306,0.006599999999999999 d,1.3776 h,3337.0 K,7.294,21,90.75943557587073,0.0,156.33592570258094,230,230,2205.0
