,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_facility,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,dec_str_deg
4064,TOI-763,b,TOI-763 b,Transit,0,2,5.6057,0.0013,-0.0013,0.0,0.06,0.0006,-0.0006,0.0,0.04,0.04,-0.03,0.0,,,,0.0,0.0308,0.00245,-0.00245,0.0,Mass,0.203,0.01,-0.01,0.0,4.51,0.83,-0.66,0.0,0,0,0,12h57m52.45s,194.46854199999999,-39d45m27.71s,-39.757697,95.39,0.45,-0.45,0.0,95.39,0.45,-0.45,0.0,10.156,0.040999999999999995,0.0,9.999,,0.0,5450.0,60.0,-60.0,0.0,0.92,0.03,-0.03,0.0,0.9,0.01,-0.01,0.0,2020-09-24,1,9.79,0.78,-0.78,0.0,,,,0.0,2458572.102,0.0031,-0.0031,0.0,0.51,0.35,-0.35,0.0,Transiting Exoplanet Survey Satellite (TESS),8.857999999999999,0.023,0.0,8.554,0.017,0.0,-38.24230277777778
4065,TOI-763,c,TOI-763 c,Transit,0,2,12.2737,0.0053,-0.0077,0.0,0.1011,0.001,-0.001,0.0,0.04,0.04,-0.03,0.0,,,,0.0,0.02932,0.00321,-0.00321,0.0,Mass,0.235,0.011000000000000001,-0.011000000000000001,0.0,2.82,0.54,-0.47,0.0,0,0,0,12h57m52.45s,194.46854199999999,-39d45m27.71s,-39.757697,95.39,0.45,-0.45,0.0,95.39,0.45,-0.45,0.0,10.156,0.040999999999999995,0.0,9.999,,0.0,5450.0,60.0,-60.0,0.0,0.92,0.03,-0.03,0.0,0.9,0.01,-0.01,0.0,2020-09-24,1,9.32,1.02,-1.02,0.0,,,,0.0,2458572.9661,0.0071,-0.0044,0.0,0.51,0.35,-0.35,0.0,Transiting Exoplanet Survey Satellite (TESS),8.857999999999999,0.023,0.0,8.554,0.017,0.0,-38.24230277777778
4066,TOI-824,b,TOI-824 b,Transit,0,1,1.392978,1.8e-05,-1.7e-05,0.0,0.021769999999999998,0.00032,-0.00032,0.0,,,,0.0,83.65,0.39,-0.38,0.0,0.0581,0.0058,-0.0059,0.0,Mass,0.261,0.018000000000000002,-0.017,0.0,4.03,0.98,-0.78,0.0,0,0,0,14h48m39.71s,222.165458,-57d35m19.92s,-57.58886700000001,63.71,0.2,-0.2,0.0,64.04,0.14,-0.14,0.0,11.152999999999999,0.008,0.0,10.762,,0.0,4600.0,110.0,-100.0,0.0,0.71,0.03,-0.03,0.0,0.69,0.03,-0.03,0.0,2020-09-24,1,18.467,1.843,-1.875,0.0,0.048060000000000005,0.00081,-0.0008,0.0,2458639.60354,0.00035,-0.00035,0.0,0.745,0.022,-0.024,0.0,Transiting Exoplanet Survey Satellite (TESS),9.145,0.006999999999999999,0.0,8.557,0.043,0.0,-56.41113333333333
4070,K2-141,b,K2-141 b,Transit,0,2,0.2803244,1.5e-06,-1.5e-06,0.0,,,,,0.0,,,0.0,86.3,2.7,-3.6,0.0,0.01598,0.0012900000000000001,-0.0012900000000000001,0.0,Mass,0.135,0.004,-0.004,0.0,8.2,1.1,-1.1,0.0,0,0,1,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0.0,61.98,0.17,-0.17,0.0,11.389000000000001,0.14800000000000002,0.0,10.722000000000001,,0.0,4599.0,79.0,-79.0,0.0,0.71,0.03,-0.03,0.0,0.68,0.02,-0.02,0.0,2018-01-18,1,5.08,0.41,-0.41,0.0,,,,,2457744.0716,0.00022,-0.00022,0.0,,,,,K2,9.086,0.021,0.0,8.524,0.053,0.0,-0.8107222222222222
4071,K2-141,c,K2-141 c,Transit,0,2,7.7485,0.00022,-0.00022,0.0,,,,,0.0,,,0.0,87.2,1.6,-2.0,0.0,0.023280000000000002,,,1.0,Mass,0.624,0.41,-0.25,0.0,,,,,0,0,1,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,61.98,0.17,-0.17,0.0,61.98,0.17,-0.17,0.0,11.389000000000001,0.14800000000000002,0.0,10.722000000000001,,0.0,4599.0,79.0,-79.0,0.0,0.71,0.03,-0.03,0.0,0.68,0.02,-0.02,0.0,2018-01-18,1,7.4,,,1.0,,,,,2457751.1546,0.001,-0.001,0.0,,,,,K2,9.086,0.021,0.0,8.524,0.053,0.0,-0.8107222222222222
4093,HD 219666,b,HD 219666 b,Transit,0,1,6.03607,0.00064,-0.00063,0.0,0.06356,0.00265,-0.00265,0.0,0.0,,,0.0,86.38,0.15,-0.15,0.0,0.05223,0.00409,-0.00409,0.0,Mass,0.42,0.015,-0.015,0.0,0.87,0.12,-0.11,0.0,0,0,0,23h18m13.630s,349.556792,-56d54m13.630s,-56.903786,94.43,0.25,-0.25,0.0,94.43,0.25,-0.25,0.0,,,,9.65,,0.0,5527.0,65.0,-65.0,0.0,0.92,0.03,-0.03,0.0,1.03,0.03,-0.03,0.0,2019-03-05,1,16.6,1.3,-1.3,0.0,0.08991669999999999,0.0014167,-0.0014167,0.0,2458329.1996,0.0012,-0.0012,0.0,0.838,0.012,-0.013,0.0,Transiting Exoplanet Survey Satellite (TESS),8.557,0.011000000000000001,0.0,8.254,0.039,0.0,-55.09621388888889
4094,HD 1397,b,HD 1397 b,Transit,0,1,11.53533,0.00079,-0.0008,0.0,0.1097,0.0011,-0.0013,0.0,0.251,0.02,-0.019,0.0,88.99,0.67,-0.73,0.0,0.415,0.02,-0.02,0.0,Mass,1.026,0.025,-0.027000000000000003,0.0,0.477,0.043,-0.038,0.0,0,0,0,00h17m47.15s,4.446472,-66d21m32.1s,-66.35891,79.75,0.17,-0.17,0.0,79.75,0.17,-0.17,0.0,7.781000000000001,0.011000000000000001,0.0,7.593,,0.0,5521.0,60.0,-60.0,0.0,1.32,0.04,-0.05,0.0,2.34,0.05,-0.06,0.0,2019-07-25,1,131.89945,6.3566,-6.3566,0.0,0.3584,0.0014,-0.0013,0.0,2458332.08261,0.0006,-0.0006,0.0,0.17,0.12,-0.11,0.0,Transiting Exoplanet Survey Satellite (TESS),6.442,0.02,0.0,6.09,0.049,0.0,-65.64108333333334
4123,LTT 1445 A,b,LTT 1445 A b,Transit,0,1,5.35882,0.0003,-0.00031,0.0,0.03807,0.0006799999999999999,-0.0007099999999999999,0.0,0.19,0.35,-0.14,0.0,89.4,0.41,-0.46,0.0,0.00692,0.00535,-0.0066099999999999996,0.0,Mass,0.12300000000000001,0.012,-0.011000000000000001,0.0,4.4,4.0,-4.2,0.0,0,0,0,03h01m51.39s,45.464110999999995,-16d35m36.1s,-16.593372,6.87,0.0,-0.0,0.0,6.87,0.0,-0.0,0.0,11.22,0.02,0.0,10.047,,0.0,3337.0,150.0,-150.0,0.0,0.26,0.01,-0.01,0.0,0.28,0.02,-0.02,0.0,2019-08-15,1,2.2,1.7,-2.1,0.0,0.0574,0.0011,-0.0011,0.0,2458423.4262900003,0.00044,-0.00045,0.0,0.29,0.23,-0.2,0.0,Transiting Exoplanet Survey Satellite (TESS),7.294,0.024,0.0,6.774,0.038,0.0,-15.406638888888889
4197,HD 15337,b,HD 15337 b,Transit,0,2,4.75615,0.00017,-0.00017,0.0,0.0522,0.0012,-0.0012,0.0,0.09,0.05,-0.05,0.0,88.5,0.6,-0.4,0.0,0.02363,0.00343,-0.00318,0.0,Mass,0.146,0.005,-0.005,0.0,9.3,1.81,-1.58,0.0,0,0,0,02h27m28.38s,36.86824,-27d38m06.7s,-27.635206,44.87,0.07,-0.07,0.0,44.87,0.07,-0.07,0.0,9.088,0.018000000000000002,0.0,8.856,,0.0,5125.0,50.0,-50.0,0.0,0.9,0.03,-0.03,0.0,0.86,0.02,-0.02,0.0,2019-05-16,1,7.51,1.09,-1.01,0.0,0.10375,0.0025,-0.0025,0.0,2458411.4615599997,0.0009400000000000001,-0.00119,0.0,0.33,0.09,-0.14,0.0,Transiting Exoplanet Survey Satellite (TESS),7.553,0.019,0.0,7.215,0.034,0.0,-26.364805555555556
4198,HD 15337,c,HD 15337 c,Transit,0,2,17.1784,0.0016,-0.0016,0.0,0.1268,0.0038,-0.0038,0.0,0.05,0.06,-0.04,0.0,88.5,0.2,-0.1,0.0,0.025519999999999998,0.00573,-0.00532,0.0,Mass,0.213,0.011000000000000001,-0.011000000000000001,0.0,3.23,0.9,-0.72,0.0,0,0,0,02h27m28.38s,36.86824,-27d38m06.7s,-27.635206,44.87,0.07,-0.07,0.0,44.87,0.07,-0.07,0.0,9.088,0.018000000000000002,0.0,8.856,,0.0,5125.0,50.0,-50.0,0.0,0.9,0.03,-0.03,0.0,0.86,0.02,-0.02,0.0,2019-05-16,1,8.11,1.82,-1.69,0.0,0.09375,0.0083333,-0.0045833,0.0,2458414.5501,0.0015,-0.0015,0.0,0.87,0.01,-0.02,0.0,Transiting Exoplanet Survey Satellite (TESS),7.553,0.019,0.0,7.215,0.034,0.0,-26.364805555555556
4202,WASP-185,b,WASP-185 b,Transit,0,1,9.38755,2e-05,-2e-05,0.0,0.0904,0.0017,-0.0017,0.0,0.24,0.04,-0.04,0.0,86.8,0.3,-0.3,0.0,0.98,0.06,-0.06,0.0,Mass,1.25,0.08,-0.08,0.0,0.66,0.16,-0.16,0.0,0,0,0,14h16m14.31s,214.059625,-19d32m32.2s,-19.542278,275.0,6.0,-6.0,0.0,281.56,3.43,-3.43,0.0,,,,10.895,,0.0,5900.0,100.0,-100.0,0.0,1.12,0.06,-0.06,0.0,1.5,0.08,-0.08,0.0,2019-10-10,1,311.4734,19.0698,-19.0698,0.0,0.192,0.006,-0.006,0.0,2456935.982,0.002,-0.002,0.0,0.81,0.03,-0.03,0.0,WASP-South,9.873,0.025,0.0,9.601,0.024,0.0,-18.45772222222222
4226,K2-261,b,K2-261 b,Transit,0,1,11.63344,0.00012,-0.00012,0.0,0.102,0.019,-0.02,0.0,0.39,0.15,-0.15,0.0,88.4,1.1,-1.9,0.0,0.223,0.031,-0.031,0.0,Mass,0.85,0.026000000000000002,-0.022000000000000002,0.0,0.483,0.076,-0.081,0.0,0,0,1,10h52m07.78s,163.032425,+00d29m36.1s,0.49335200000000007,214.58,1.97,-1.97,0.0,214.58,1.97,-1.97,0.0,10.612,0.059000000000000004,0.0,10.459000000000001,,0.0,5537.0,71.0,-71.0,0.0,1.1,0.01,-0.02,0.0,1.65,0.04,-0.04,0.0,2018-08-16,1,70.87609,9.852730000000001,-9.852730000000001,0.0,0.213,0.057,-0.029,0.0,2457906.84084,0.00054,-0.00067,0.0,0.27,0.18,-0.18,0.0,K2,9.337,0.03,0.0,8.92,0.042,0.0,0.49336111111111114
4227,K2-265,b,K2-265 b,Transit,0,1,2.369172,8.9e-05,-8.9e-05,0.0,0.033760000000000005,0.00021,-0.00021,0.0,0.084,0.079,-0.079,0.0,87.7,1.6,-1.6,0.0,0.02058,0.00264,-0.00264,0.0,Mass,0.153,0.01,-0.01,0.0,7.1,1.8,-1.8,0.0,0,0,1,22h48m07.57s,342.031525,-14d29m40.9s,-14.494689000000001,139.22,0.98,-0.98,0.0,139.22,0.98,-0.98,0.0,11.102,0.037000000000000005,0.0,10.927999999999999,,0.0,5477.0,27.0,-27.0,0.0,0.92,0.02,-0.02,0.0,0.98,0.05,-0.05,0.0,2018-10-04,1,6.54,0.84,-0.84,0.0,0.09441669999999999,0.0020833,-0.0020833,0.0,2456981.6431,0.0016,-0.0016,0.0,0.3,0.2,-0.2,0.0,K2,9.726,0.026000000000000002,0.0,9.312000000000001,0.022000000000000002,0.0,-13.505305555555557
4259,LHS 1815,b,LHS 1815 b,Transit,0,1,3.81433,3e-05,-3e-05,0.0,0.0404,0.0094,-0.0094,0.0,0.0,,,0.0,88.125,1.113,-1.113,0.0,0.02737,,,1.0,Mass,0.09699999999999999,0.006,-0.006,0.0,,,,,0,0,0,06h04m20.36s,91.084816,-55d18m46.8s,-55.313010999999996,29.87,0.02,-0.02,0.0,29.87,0.02,-0.02,0.0,12.15,0.025,0.0,11.235999999999999,,0.0,3643.0,142.0,-142.0,0.0,0.5,0.01,-0.01,0.0,0.5,0.03,-0.03,0.0,2020-03-19,1,8.7,,,1.0,,,,,2458327.4161,0.0016,-0.0016,0.0,,,,,Transiting Exoplanet Survey Satellite (TESS),8.801,0.024,0.0,8.209,0.047,0.0,-54.687000000000005
4264,HD 95338,b,HD 95338 b,Radial Velocity,0,1,55.087,0.02,-0.02,0.0,0.262,0.002,-0.002,0.0,0.197,0.029,-0.024,0.0,89.57,0.09,-0.05,0.0,0.13352999999999998,0.00698,-0.006540000000000001,0.0,Mass,0.34700000000000003,0.017,-0.018000000000000002,0.0,3.98,0.62,-0.64,0.0,0,0,0,10h59m26.30s,164.859604,-56d37m22.9s,-56.623039,36.97,0.02,-0.03,0.0,37.03,0.07,-0.07,0.0,8.611,0.013000000000000001,0.0,8.382,,0.0,5212.0,16.0,-11.0,0.0,0.83,0.02,-0.02,0.0,0.87,0.04,-0.04,0.0,2020-07-23,1,42.44,2.22,-2.08,0.0,,,,0.0,2458585.2795,0.0006,-0.0006,0.0,0.43,0.07,-0.113,0.0,Las Campanas Observatory,7.099,0.024,0.0,6.729,0.038,0.0,-55.37697222222222
