Name,obs_time,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,Time necessary to reach 20 exposures [s],S/N overall median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
KELT-10 b,2020-07-15 04:41:16.523764,3.7439999999999998 h,5948.0 K,9.693,56,13690.0,90.75943557587073,90.75943557587073,90.75943557587073,230,230,3136.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : KELT-10 b,2020-07-15 02:48:57.323764,1.1252768524297698,120.74357052645733,65.99100704969439,149.9279327392578,62.70661544799805
Eclipse Mid,2020-07-15 04:41:16.523764,1.0891831991677519,121.79331181730367,64.88266925038525,194.7041473388672,66.65264892578125
Eclipse End,2020-07-15 06:33:35.723764,1.2463105745982923,122.74530853800412,63.925176805287045,223.0149383544922,53.356849670410156
