,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid
1678,WASP-63,b,WASP-63 b,4.37808,0.0574,1.41,0.37,94.3363562,-38.3233826,87.8,0,6.00E-06,11.155,9.463,9.818,9.393,5550,1.86,1.28,,0.61,5.34,2455921.654
1693,HD 40307,f,HD 40307 f,51.76,0.247,0.19,0.0164,88.5172191,-60.0237289,,0.02,0.5,7.17,4.968,5.412,4.793,4956,0.72,0.77,398,,,
1694,HD 40307,g,HD 40307 g,197.8,0.6,0.229,0.0223,88.5172191,-60.0237289,,0.29,5.7,7.17,4.968,5.412,4.793,4956,0.72,0.77,255,,,
1706,BD-06 1339,b,BD-06 1339 b,3.8728,0.0428,0.254,0.027,88.2511811,-5.9963378,,0,0.0004,9.7,6.517,7.128,6.305,4324,,0.7,,,,
1707,BD-06 1339,c,BD-06 1339 c,125.94,0.435,0.747,0.17,88.2511811,-5.9963378,,0.31,0.44,9.7,6.517,7.128,6.305,4324,,0.7,,,,
1709,HD 109271,b,HD 109271 b,7.8543,0.079,0.385,0.054,188.397397,-11.6215204,,0.25,0.0009,8.04,6.555,6.855,6.495,5783,,1.05,,,,
1710,HD 109271,c,HD 109271 c,30.93,0.196,0.47,0.076,188.397397,-11.6215204,,0.15,0.02,8.04,6.555,6.855,6.495,5783,,1.05,,,,
1718,WASP-80,b,WASP-80 b,3.06785234,0.0344,0.999,0.538,303.1667996,-2.1444369,89.02,0.002,8.30E-07,11.841,8.513,9.218,8.351,4143,0.59,0.58,825,2.937,2.131,2456487.425
1721,HD 159868,c,HD 159868 c,351,1.032,1.25,0.768,264.7466665,-43.1462347,,0.184,1.1,7.24,5.567,5.941,5.535,5534,2.13,1.19,,,,
1739,GJ 667 C,e,GJ 667 C e,62.24,0.213,0.129,0.008,259.7510609,-34.9977651,,0.02,0.55,10.602,6.322,6.848,6.036,3350,,0.33,,,,
1740,GJ 667 C,f,GJ 667 C f,39.026,0.156,0.129,0.008,259.7510609,-34.9977651,,0.03,0.194,10.602,6.322,6.848,6.036,3350,,0.33,,,,
1741,GJ 667 C,g,GJ 667 C g,256.2,0.549,0.177,0.014,259.7510609,-34.9977651,,0.08,13.8,10.602,6.322,6.848,6.036,3350,,0.33,,,,
1789,HD 114613,b,HD 114613 b,4000,5.34,1.17,0.357,198.0111842,-37.8028236,,0.458,120,4.85,3.346,3.692,3.303,5641,2.14,1.27,,,,
1821,Kapteyn,c,Kapteyn c,121.54,0.311,0.227,0.022,77.9586613,-45.0430198,,0.23,0.25,8.86,5.316,5.821,5.049,3550,0.29,0.28,,,,
1826,GJ 832,c,GJ 832 c,35.68,0.163,0.195,0.017,323.3912616,-49.0125169,,0.18,0.03,8.66,4.766,5.349,4.501,3472,,0.45,,,,
1849,WASP-69,b,WASP-69 b,3.86814,0.04525,1.11,0.29,315.0259661,-5.094857,86.71,0,2.00E-06,9.873,7.543,8.032,7.459,4700,0.86,0.98,963,1.8,2.2296,2455748.833
1850,WASP-70 A,b,WASP-70 A b,3.7130203,0.04853,1.164,0.59,315.4771912,-13.4333821,87.12,0,4.70E-06,10.786,9.714,9.996,9.58,5763,1.22,1.11,1387,0.97,3.3336,2455736.503
1851,WASP-84,b,WASP-84 b,8.5234865,0.0771,0.942,0.694,131.1069959,1.8598933,88.368,0,7.00E-06,10.825,8.956,9.346,8.855,5314,0.75,0.84,797,1.678,2.74848,2454286.106
1859,GJ 3293,b,GJ 3293 b,30.5987,0.14339,0.463,0.07406,67.1484425,-25.1713396,,0.06,0.0083,11.945,7.749,8.362001,7.486,3466,0.4,0.42,,,,
1860,GJ 3293,c,GJ 3293 c,122.6196,0.36175,0.434,0.06636,67.1484425,-25.1713396,,0.11,0.2429,11.945,7.749,8.362001,7.486,3466,0.4,0.42,,,,
1861,GJ 3341,b,GJ 3341 b,14.207,0.089,0.219,0.0208,78.9471415,-31.2948458,,0.31,0.007,12.062,7.99,8.592,7.733,3526,0.44,0.47,,,,
1862,HIP 116454,b,HIP 116454 b,9.1205,0.0906,0.22,0.04,353.9543517,0.4447043,88.43,0.2,0.0005,10.19,8.14,8.604,8.029,5089,0.72,0.81,690,0.097,,2456907.89
1863,HD 564,b,HD 564 b,492.3,1.2,1.12,0.33,2.4694459,-50.2678998,,0.096,2.3,8.32,6.983,7.218,6.893,5902,1.01,0.96,,,,
1864,HD 30669,b,HD 30669 b,1684,2.69,1.27,0.47,72.1198522,-28.4190757,,0.18,61,9.12,7.39,7.754,7.329,5400,0.91,0.92,,,,
1866,HD 103720,b,HD 103720 b,4.5557,0.0498,1.26,0.62,179.1713308,-2.7791393,,0.086,0.0001,9.5,7.431,7.838,7.283,5017,0.73,0.79,,,,
1868,BD-11 4672,b,BD-11 4672 b,1634,2.36,1.25,0.65,278.3688659,-11.6370481,,0.05,13,10.03,7.031,7.651,6.867,4550,0.64,0.65,,,,
1877,K2-3,b,K2-3 b,10.054626,0.074,0.177,0.02039,172.3353708,-1.4551364,89.588,0,1.00E-05,12.168,8.805,9.421,8.561,3896,0.56,0.6,504,0.1416,2.563,2456813.418
1878,K2-3,c,K2-3 c,24.646582,0.1345,0.139,0.00673,172.3353708,-1.4551364,89.905,0,4.10E-05,12.168,8.805,9.421,8.561,3896,0.56,0.6,374,0.0822,3.428,2456812.28
1879,K2-3,d,K2-3 d,44.55646,0.2097,0.136,0.00881,172.3353708,-1.4551364,89.788,0,0.00011,12.168,8.805,9.421,8.561,3896,0.56,0.6,282,0.0782,4.17,2456826.223
1881,WASP-20,b,WASP-20 b,4.8996284,0.06,1.462,0.311,5.1605621,-23.9357894,85.56,0,3.30E-06,10.675,9.417,9.701,9.39,5940,1.39,1.2,1379,1.164,3.4032,2455715.656
1910,WASP-74,b,WASP-74 b,2.13775,0.03705,1.36,0.72,304.538843,-1.0760033,79.81,0,1.00E-06,9.75,8.286,8.548,8.221,5990,1.42,0.98,1910,0.96,2.292,2456506.893
1931,K2-18,b,K2-18 b,32.939623,0.1429,0.211,0.02807,172.560141,7.5878315,89.579,0.2,9.50E-05,13.477,9.135,9.763,8.899,3457,0.41,0.36,284,0.3098,2.682,2457264.391
1957,GJ 1132,b,GJ 1132 b,1.628931,0.0153,0.101,0.00522,153.7090696,-47.1549358,86.58,0.22,2.70E-05,13.68,8.666,9.245,8.322,3270,0.21,0.18,529,,,2457184.558
1963,HD 175607,b,HD 175607 b,29.01,,0.263,0.02825,285.2742901,-66.1943379,,0.11,0.02,8.6,6.928,7.28,6.881,5392,0.7,0.71,,,,
1973,Wolf 1061,b,Wolf 1061 b,4.8869,0.0375,0.108,0.00601,247.5748276,-12.6676866,,0.15,0.0005,10.1,5.373,5.95,5.075,3342,0.31,0.29,,,,
1974,Wolf 1061,c,Wolf 1061 c,17.8719,0.089,0.148,0.01073,247.5748276,-12.6676866,,0.11,0.0059,10.1,5.373,5.95,5.075,3342,0.31,0.29,,,,
1975,Wolf 1061,d,Wolf 1061 d,217.21,0.47,0.24,0.02423,247.5748276,-12.6676866,,0.55,0.55,10.1,5.373,5.95,5.075,3342,0.31,0.29,,,,
2015,KELT-10,b,KELT-10 b,4.1662739,0.0525,1.399,0.679,284.5483823,-47.0033072,88.61,,6.30E-06,10.617,9.388,9.693,9.338,5948,1.21,1.11,1377,1.416,3.744,2457066.72
2023,WASP-126,b,WASP-126 b,3.28883,0.0449,0.96,0.28411,63.374706,-69.2265926,89.51,0.18,3.71E-05,10.994,9.659,9.962,9.598,5800,1.27,1.12,1480,0.712532,3.410191,2458327.521
2034,WASP-123,b,WASP-123 b,2.9776412,0.04263,1.318,0.899,289.4792124,-32.8601244,85.74,0,2.30E-06,11.03,9.457,9.799,9.362001,5740,1.29,1.17,1520,1.11,3.0936,2456845.171
2048,K2-38,b,K2-38 b,4.01593,0.05073,0.17,0.06,240.0333095,-23.1894196,87.28,,0.0005,11.344,9.6,9.911,9.47,5757,1.38,2.24,1184,0.016,2.7408,2456896.869
2049,K2-38,c,K2-38 c,10.56103,0.0964,0.216,0.03115,240.0333095,-23.1894196,88.61,,0.0009,11.344,9.6,9.911,9.47,5757,1.1,1.07,858,0.0484,2.533,2456900.475
2065,Proxima Cen,b,Proxima Cen b,11.186,0.0485,0.096,0.004,217.3934657,-62.6761821,,0.35,0.001,11.01,4.835,5.357,4.384,3050,0.14,0.12,234,,,
2067,HD 3167,b,HD 3167 b,0.959624,0.0186,0.152,0.01579,8.7401487,4.3807215,88.4,0,2.80E-05,8.97,7.203,7.548,7.066,5528,0.87,0.94,1669,0.0294,1.65,2457393.415
2068,HD 3167,c,HD 3167 c,29.83832,0.1841,0.255,0.03083,8.7401487,4.3807215,89.33,0.267,0.002905,8.97,7.203,7.548,7.066,5528,0.87,0.94,531,0.0946,4.81,2457394.99
2070,HD 133131 A,c,HD 133131 A c,3568,4.49,1.28,0.42,225.8984524,-27.8431369,,0.49,1084,7.66,6.949,7.256,6.895,5799,,0.95,,,,
2087,HD 42618,b,HD 42618 b,149.61,0.554,0.347,0.04531,93.0032173,6.7819742,,0.19,0.37,6.87,5.385,5.701,5.301,5727,1,1.02,337,,,
