Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,Time necessary to reach 20 exposures [s],S/N overall median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
Wolf 503 b,2020-07-13 00:41:41.889825,8e-05 d,1.3210008 h,4716.0 K,8.324,20,5050.0,90.75943557587073,90.75943557587073,90.75943557587073,230,230,400.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : Wolf 503 b,2020-07-13 00:02:04.088385,1.0860103080635504,174.3029821564445,89.37316091165967,320.87994384765625,67.04354858398438
Eclipse Mid,2020-07-13 00:41:41.889825,1.150643818399709,174.74462589293768,88.9576516665759,304.31744384765625,60.351749420166016
Eclipse End,2020-07-13 01:21:19.691265,1.2615906798732606,175.1767067004293,88.55160285045942,293.5760803222656,52.43386459350586
