Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
Wolf 503 b,2020-06-07 00:32:26.591998,True,1.3210008 h,29,95.42144010984757,0.0,155.10652999242532,160.0,160.0
WASP-85 A b,2020-06-06 00:55:52.575046,True,2.59584 h,20,90.31883105821753,0.0,153.7276243992491,450.0,450.0
,time,airmass,moon sep,moon phase,az,alt
Eclipse Begin : WASP-85 A b,2020-06-05 23:38:00.063046,1.1690556758574184,85.04109426936746,176.41193098370042,354.669921875,58.80298614501953
Eclipse Mid,2020-06-06 00:55:52.575046,1.2675744444105004,85.73022502826846,175.88641133731068,322.1554870605469,52.0836067199707
Eclipse End,2020-06-06 02:13:45.087046,1.5965857104533594,86.33143737445565,175.41193916413326,301.7958068847656,38.78035354614258
Eclipse Begin : Wolf 503 b,2020-06-06 23:52:48.790558,1.1439592306132416,65.96794744547397,163.40689534835406,54.617340087890625,60.94536590576172
Eclipse Mid,2020-06-07 00:32:26.591998,1.0824561765026972,66.34383482793302,163.06446964543682,37.434837341308594,67.49182891845703
Eclipse End,2020-06-07 01:12:04.393438,1.0558039405044193,66.69473812802356,162.74652383199694,11.228935241699219,71.28843688964844
