Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
TOI-125 c,2020-12-11 02:41:33.215992,TRUE,2.9544 h,5320.0 K,9.466,46,90.75943558,0,156.3359257,230,230
TOI-125 c,2020-10-17 05:00:27.359992,TRUE,2.9544 h,5320.0 K,9.466,46,90.75943558,0,156.3359257,230,230
TOI-125 c,2020-08-23 07:19:21.503992,TRUE,2.9544 h,5320.0 K,9.466,46,90.75943558,0,156.3359257,230,230
WASP-121 b,2020-11-05 06:51:38.420818,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2020-12-21 04:23:46.696018,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2020-12-26 06:47:20.948818,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2020-12-12 06:12:31.753618,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-03-28 01:51:37.499218,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-02-19 02:30:44.166418,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-02-10 04:19:29.224018,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-01-27 03:44:40.028818,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-01-18 05:33:25.086418,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-01-13 03:09:50.833618,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-01-04 04:58:35.891218,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2020-12-30 02:35:01.638418,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2020-11-28 05:37:42.558418,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-121 b,2021-03-05 03:05:33.361618,TRUE,2.8872 h,6459.0 K,9.625,45,90.75943558,0,156.3359257,230,230
WASP-107 b,2021-02-15 05:25:07.120005,TRUE,2.7527999999999997 h,4430.0 K,9.378,43,90.75943558,0,156.3359257,230,230
WASP-84 b,2021-01-15 05:28:15.199981,TRUE,2.74848 h,5314.0 K,9.346,43,90.75943558,0,156.3359257,230,230
