,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,pl_orbpererr2,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
1430,HD 51608,b,HD 51608 b,14.0726,0.1059,0.32299999999999995,0.0402,103.71371020000001,-55.2600189,,0.09,0.0016,-0.0016,8.17,6.451,6.813,6.328,5358.0,,0.8,,,,,,
1431,HD 51608,c,HD 51608 c,95.9446,0.3809,0.34600000000000003,0.045,103.71371020000001,-55.2600189,,0.14,0.1555,-0.1366,8.17,6.451,6.813,6.328,5358.0,,0.8,,,,,,
1440,HD 63454,b,HD 63454 b,2.81805,0.04,1.0979999999999999,0.25,114.84063929999999,-78.2791464,,0.0,7.1e-05,-7.1e-05,9.37,7.18,7.596,6.998,4812.0,0.77,0.42,,,,,,
1441,HD 63765,b,HD 63765 b,358.0,0.94,1.27,0.53,116.95826170000001,-54.265344999999996,,0.24,1.0,-1.0,8.1,6.442,6.768,6.316,5449.0,0.83,0.65,,,,,,
1442,HD 6434,b,HD 6434 b,21.998,0.14,1.27,0.49,16.1663441,-39.4904909,,0.17,0.009,-0.009,7.72,6.272,6.577,6.187,5769.0,1.12,1.1,,,,,,
1447,HD 69830,b,HD 69830 b,8.667,0.0785,0.28300000000000003,0.0321,124.6010091,-12.6364246,,0.1,0.003,-0.003,5.96004,4.364,4.953,4.165,5385.0,,0.86,,,,,,
1448,HD 69830,c,HD 69830 c,31.56,0.186,0.309,0.0371,124.6010091,-12.6364246,,0.13,0.04,-0.04,5.96004,4.364,4.953,4.165,5385.0,,0.86,,,,,,
1449,HD 69830,d,HD 69830 d,197.0,0.63,0.397,0.057,124.6010091,-12.6364246,,0.07,3.0,-3.0,5.96004,4.364,4.953,4.165,5385.0,,0.86,,,,,,
1452,HD 7199,b,HD 7199 b,615.0,1.36,0.993,0.27,17.697934399999998,-66.1886947,,0.19,7.0,-7.0,8.06,6.329,6.664,6.229,5371.0,0.97,0.77,,,,,,
1463,HD 76700,b,HD 76700 b,3.97097,0.05,0.856,0.21,133.4782248,-66.8004747,,0.09,0.00023,-0.00023,8.16,6.613,6.911,6.5,5644.0,1.37,0.99,,,,,,
1472,HD 83443,b,HD 83443 b,2.9857,0.04,1.14,0.34,144.2994103,-43.272721000000004,,0.01,5.7e-05,-5.7e-05,8.23,6.585,6.876,6.444,5442.0,0.94,0.79,,,,,,
1474,HD 85390,b,HD 85390 b,799.52,1.373,0.55,0.099,147.51056630000002,-49.79052539999999,,0.5,2.41,-2.41,8.54,6.612,7.012,6.491,5186.0,0.8,0.76,,,,,,
1475,HD 85512,b,HD 85512 b,58.43,0.26,0.153,0.011,147.7821226,-43.5048162,90.0,0.11,0.13,-0.13,7.67,4.998,5.451,4.717,4300.0,0.71,0.43,298.0,,,,,
