Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
KELT-14 b,2021-01-02 03:04:56.702080,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-14 02:22:18.933760,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-31 04:47:07.836160,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-19 05:29:45.604480,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-04-01 01:13:58.994560,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-03-20 01:56:36.762880,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-03-08 02:39:14.531200,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-02-24 03:21:52.299520,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-02-12 04:04:30.067840,True,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
WASP-178 b,2021-05-14 05:22:50.953613,True,3.4704 h,9360.0 K,9.775,54,90.75943557587073,0.0,156.33592570258094,230,230,17496.0
WASP-178 b,2021-02-26 07:02:07.758413,True,3.4704 h,9360.0 K,9.775,54,90.75943557587073,0.0,156.33592570258094,230,230,17496.0
WASP-178 b,2020-06-27 02:53:45.443213,True,3.4704 h,9360.0 K,9.775,54,90.75943557587073,0.0,156.33592570258094,230,230,17496.0
WASP-178 b,2020-06-17 02:04:05.896013,True,3.4704 h,9360.0 K,9.775,54,90.75943557587073,0.0,156.33592570258094,230,230,17496.0
WASP-178 b,2021-05-04 04:33:11.406413,True,3.4704 h,9360.0 K,9.775,54,90.75943557587073,0.0,156.33592570258094,230,230,17496.0
WASP-178 b,2021-04-24 03:43:31.859213,True,3.4704 h,9360.0 K,9.775,54,90.75943557587073,0.0,156.33592570258094,230,230,17496.0
WASP-70 A b,2020-09-19 03:20:00.785276,True,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,13520.0
WASP-70 A b,2020-08-24 03:32:46.107836,True,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,13520.0
WASP-70 A b,2020-07-29 03:45:31.430396,True,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,13520.0
WASP-70 A b,2020-07-14 07:18:31.614716,True,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,13520.0
WASP-70 A b,2020-06-18 07:31:16.937276,True,3.3335999999999997 h,5763.0 K,9.996,52,90.75943557587073,0.0,156.33592570258094,230,230,13520.0
KELT-10 b,2021-06-09 08:04:04.867832,True,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,13456.0
KELT-10 b,2020-08-09 04:45:22.125752,True,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,13456.0
KELT-10 b,2020-07-15 04:48:45.735992,True,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,13456.0
KELT-10 b,2020-06-20 04:52:09.346232,True,3.7439999999999998 h,5948.0 K,9.693,58,90.75943557587073,0.0,156.33592570258094,230,230,13456.0
WASP-85 A b,2021-04-10 02:20:16.755526,True,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,9600.0
WASP-85 A b,2021-04-18 01:32:48.415366,True,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,9600.0
WASP-85 A b,2021-03-17 04:42:41.776006,True,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,9600.0
WASP-85 A b,2021-03-09 05:30:10.116166,True,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,9600.0
WASP-85 A b,2021-02-21 07:05:06.796486,True,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,9600.0
WASP-85 A b,2021-04-02 03:07:45.095686,True,2.59584 h,6112.0 K,9.275,40,90.75943557587073,0.0,156.33592570258094,230,230,9600.0
WASP-166 b,2021-03-02 02:48:05.336007,True,3.5999999999999996 h,6050.0 K,8.35,56,90.75943557587073,0.0,156.33592570258094,230,230,9408.0
