Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Average Exposure Time [s],rank,Number of transits
AU Mic b,2021-06-14 07:49:12.929075,0.001,3.5 h,3700,5.436,795,101.83,0,161.71,16,2528100,4
AU Mic b,2021-07-01 06:01:57.485118,0.00108,3.5 h,3700,5.436,795,101.71,0,161.69,16,2528100,4
AU Mic b,2021-07-18 04:15:17.658129,0.00116,3.5 h,3700,5.436,795,101.45,0,161.65,16,2528100,4
AU Mic b,2021-08-04 02:29:16.929599,0.00124,3.5 h,3700,5.436,795,101.09,0,161.59,16,2528100,4
HD 21749 c,2021-09-04 07:37:22.680989,0.01938,2.515 h,4640,6.081,258,101.72,0,162.07,35,199692,3
HD 21749 c,2020-11-20 02:11:13.745644,0.00051,2.515 h,4640,6.081,258,101.57,0,162.03,35,199692,3
HD 21749 c,2021-10-13 06:25:06.354806,0.02193,2.515 h,4640,6.081,258,102.05,0,162.13,35,199692,3
GJ 357 b,2021-05-05 00:25:34.146481,0.00344,1.53 h,3505,7.337,61,101.40,0,160.85,90,26047,7
GJ 357 b,2020-12-26 07:16:47.166167,0.0008,1.53 h,3505,7.337,61,101.50,0,160.87,90,26047,7
GJ 357 b,2020-12-30 05:36:37.209057,0.00088,1.53 h,3505,7.337,61,100.79,0,160.75,90,26047,7
GJ 357 b,2021-03-07 01:17:43.166550,0.00224,1.53 h,3505,7.337,61,100.85,0,160.76,90,26047,7
GJ 357 b,2021-03-03 02:57:24.631107,0.00216,1.53 h,3505,7.337,61,101.53,0,160.87,90,26047,7
GJ 357 b,2021-05-01 02:04:54.355992,0.00336,1.53 h,3505,7.337,61,100.51,0,160.71,90,26047,7
GJ 357 b,2021-02-23 06:16:53.299821,0.002,1.53 h,3505,7.337,61,100.70,0,160.74,90,26047,7
HD 213885 b,2021-09-12 03:39:48.357354,0.006237,1.534232 h,5978,6.806,57,101.80,0,158.52,96,94221,29
HD 213885 b,2021-09-09 03:04:55.173623,0.006174,1.534232 h,5978,6.806,57,101.69,0,158.49,96,94221,29
HD 213885 b,2021-09-07 02:41:40.143404,0.006132,1.534232 h,5978,6.806,57,101.56,0,158.46,96,94221,29
HD 213885 b,2021-09-06 02:30:02.759079,0.006111,1.534232 h,5978,6.806,57,101.47,0,158.43,96,94221,29
HD 213885 b,2021-09-10 03:16:32.817503,0.006195,1.534232 h,5978,6.806,57,101.74,0,158.50,96,94221,29
HD 213885 b,2021-09-11 03:28:10.545791,0.006216,1.534232 h,5978,6.806,57,101.78,0,158.51,96,94221,29
HD 213885 b,2021-09-05 02:18:25.463183,0.00609,1.534232 h,5978,6.806,57,101.34,0,158.40,96,94221,29
HD 213885 b,2021-09-04 02:06:48.256562,0.006069,1.534232 h,5978,6.806,57,101.21,0,158.37,96,94221,29
HD 213885 b,2021-09-03 01:55:11.140003,0.006048,1.534232 h,5978,6.806,57,101.07,0,158.33,96,94221,29
HD 213885 b,2021-09-13 03:51:26.251032,0.006258,1.534232 h,5978,6.806,57,101.81,0,158.52,96,94221,29
HD 213885 b,2021-09-01 01:31:57.179958,0.006006,1.534232 h,5978,6.806,57,100.76,0,158.23,96,94221,29
HD 213885 b,2021-09-14 04:03:04.225649,0.006279,1.534232 h,5978,6.806,57,101.80,0,158.52,96,94221,29
HD 213885 b,2021-09-25 06:11:06.958352,0.00651,1.534232 h,5978,6.806,57,100.71,0,158.22,96,94221,29
