Name,obs_time,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
TOI-125 c,2020-12-11 02:42:47.884816,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
TOI-125 c,2020-10-17 04:58:28.834131,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
TOI-125 c,2020-08-23 07:15:49.303848,2.9544 h,5320.0 K,9.466,46,90.75943557587073,0.0,156.33592570258094,230,230,6348.0
WASP-121 b,2020-11-05 06:50:36.763553,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2020-12-26 06:43:40.248812,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-01-04 04:54:42.543817,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2020-12-12 06:09:21.673764,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2020-12-21 04:20:15.669412,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-03-28 01:50:06.768865,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-03-05 03:02:42.777280,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-02-19 02:27:17.207656,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-01-27 03:40:40.790045,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-01-18 05:29:23.492361,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-01-13 03:05:50.551997,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2020-11-28 05:35:14.522071,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-121 b,2021-02-10 04:15:45.387678,2.8872 h,6459.0 K,9.625,45,90.75943557587073,0.0,156.33592570258094,230,230,26325.0
WASP-84 b,2021-02-01 06:27:55.947181,2.74848 h,5314.0 K,9.346,43,90.75943557587073,0.0,156.33592570258094,230,230,3698.0
WASP-84 b,2021-01-15 05:20:41.472670,2.74848 h,5314.0 K,9.346,43,90.75943557587073,0.0,156.33592570258094,230,230,3698.0
WASP-107 b,2021-05-12 01:02:48.464108,2.7527999999999997 h,4430.0 K,9.378,43,90.75943557587073,0.0,156.33592570258094,230,230,5547.0
WASP-107 b,2021-04-19 03:45:32.346571,2.7527999999999997 h,4430.0 K,9.378,43,90.75943557587073,0.0,156.33592570258094,230,230,5547.0
WASP-107 b,2021-02-15 05:19:19.169043,2.7527999999999997 h,4430.0 K,9.378,43,90.75943557587073,0.0,156.33592570258094,230,230,5547.0
WASP-167 b,2021-06-05 03:11:35.028906,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-06-03 02:39:47.132804,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-10 04:31:29.149545,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-08 04:00:02.247786,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-06-01 02:07:59.622193,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
HR 858 b,2020-09-30 07:08:55.086213,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
WASP-167 b,2021-05-30 01:36:12.508384,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-05-28 01:04:25.801805,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-22 07:40:19.851535,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-20 07:08:50.241504,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-18 06:37:21.107915,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-16 06:05:52.442111,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
WASP-167 b,2021-03-14 05:34:24.234432,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
K2-3 b,2021-02-21 04:58:46.037118,2.7259992 h,3896.0 K,9.421,42,90.75943557587073,0.0,156.33592570258094,230,230,1764.0
WASP-167 b,2021-03-12 05:02:56.474169,2.724 h,7000.0 K,9.929,42,90.75943557587073,0.0,156.33592570258094,230,230,22932.0
HR 858 b,2020-11-23 02:06:56.969060,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-10-18 05:27:42.255649,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2021-01-05 02:56:25.431584,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
HR 858 b,2020-11-05 03:47:03.164556,2.7096 h,6201.0 K,5.473,42,90.75943557587073,0.0,156.33592570258094,230,230,8820.0
K2-233 c,2021-04-12 07:59:11.931435,2.6500008 h,4950.0 K,8.968,41,90.75943557587073,0.0,156.33592570258094,230,230,5043.0
