Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
L 98-59 c,2021-02-11 05:09:49.910399,True,1.2400008 h,60,90.34945983857355,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2021-03-09 01:11:17.491199,True,1.2400008 h,60,90.99137420309808,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 c,2020-12-25 05:41:24.403199,True,1.2400008 h,60,90.96888510909878,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
WASP-76 b,2020-10-24 03:41:13.569604,True,3.6936 h,57,92.0207389388336,"(0.0, 0.0)",0.0,230.0,230.0
WASP-76 b,2020-11-22 02:40:59.976004,True,3.6936 h,57,91.16431313744252,"(0.0, 0.0)",0.0,230.0,230.0
L 98-59 b,2021-04-26 00:20:11.328019,True,1.02 h,50,90.39391859275742,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2020-11-28 07:21:45.792019,True,1.02 h,50,90.93994173997346,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2020-12-07 07:39:50.976019,True,1.02 h,50,90.98528129612546,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2021-01-28 03:23:50.784019,True,1.02 h,50,90.94350157117812,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2021-02-06 03:41:55.968019,True,1.02 h,50,90.98128319978578,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2021-02-15 04:00:01.152019,True,1.02 h,50,90.82903148569284,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2021-02-24 04:18:06.336019,True,1.02 h,50,90.4143646297602,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 b,2021-05-05 00:38:16.512019,True,1.02 h,47,91.91952066006469,"(0.0, 0.0)",0.0,73.33333333333334,76.66666666666667
L 98-59 b,2020-11-19 07:03:40.608019,True,1.02 h,47,90.72234079433937,"(0.0, 0.0)",0.0,73.33333333333334,76.66666666666667
L 98-59 b,2021-01-10 02:47:40.416019,True,1.02 h,47,92.38057084315753,"(0.0, 0.0)",0.0,76.66666666666667,76.66666666666667
L 98-59 b,2021-01-19 03:05:45.600019,True,1.02 h,47,90.73361759541177,"(0.0, 0.0)",0.0,73.33333333333334,76.66666666666667
L 98-59 b,2020-11-10 06:45:35.424019,True,1.02 h,47,92.36340129676317,"(0.0, 0.0)",0.0,76.66666666666667,76.66666666666667
L 98-59 b,2021-03-05 04:36:11.520019,True,1.02 h,47,91.95397362979949,"(0.0, 0.0)",0.0,73.33333333333334,76.66666666666667
WASP-131 b,2021-04-10 05:36:51.279980,True,3.8304 h,44,92.26396635676592,"(0.0, 0.0)",0.0,310.0,310.0
WASP-131 b,2021-03-09 07:14:34.556780,True,3.8304 h,44,92.60737045543507,"(0.0, 0.0)",0.0,310.0,310.0
L 98-59 d,2020-12-06 06:47:27.743984,True,0.9100007999999999 h,44,90.92138006967343,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
L 98-59 d,2021-03-13 03:27:33.695984,True,0.9100007999999999 h,44,92.4145330943733,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
WASP-131 b,2021-05-12 03:59:08.003180,True,3.8304 h,44,91.65525557007841,"(0.0, 0.0)",0.0,310.0,310.0
K2-3 d,2021-04-17 01:54:07.792014,True,4.3249992 h,44,92.52408827999723,"(0.0, 0.0)",0.0,350.0,350.0
L 98-59 d,2021-03-28 01:06:02.303984,True,0.9100007999999999 h,44,90.88704918650785,"(0.0, 0.0)",0.0,73.33333333333334,73.33333333333334
WASP-131 b,2021-03-25 06:25:42.918380,True,3.8304 h,44,92.43907316045951,"(0.0, 0.0)",0.0,310.0,310.0
GJ 9827 b,2020-10-21 03:54:27.321939,True,1.2648 h,43,92.03681807500138,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-11-30 01:25:16.515219,True,1.2648 h,43,91.92265368303492,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-11-13 03:12:12.008979,True,1.2648 h,43,90.80387319341364,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-11-07 02:07:31.828179,True,1.2648 h,43,92.95360236516173,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-11-01 01:02:51.647379,True,1.2648 h,43,93.89206816837259,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-08-25 08:10:33.622419,True,1.2648 h,43,91.3942449227088,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-10-15 02:49:47.141139,True,1.2648 h,43,93.70544366237547,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-08-02 08:52:48.935379,True,1.2648 h,43,92.4378563269275,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
WASP-127 b,2021-02-21 05:53:09.118396,True,4.308 h,43,91.34149147416042,"(0.0, 0.0)",0.0,360.0,360.0
WASP-127 b,2021-03-14 03:15:11.902396,True,4.308 h,43,92.85260335367337,"(0.0, 0.0)",0.0,360.0,360.0
GJ 9827 b,2020-06-28 07:25:43.886739,True,1.2648 h,43,93.07330595583707,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-07-04 08:30:24.067539,True,1.2648 h,43,93.89696861988523,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-07-21 06:43:28.573779,True,1.2648 h,43,93.747899468246,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-10-09 01:45:06.960339,True,1.2648 h,43,93.84735600578222,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-07-27 07:48:08.754579,True,1.2648 h,43,93.82729737230041,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-08-13 06:01:13.260819,True,1.2648 h,43,93.90314472619009,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-08-30 04:14:17.767059,True,1.2648 h,43,93.80015275279085,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-09-22 03:32:02.454099,True,1.2648 h,43,93.90215462595515,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-09-16 02:27:22.273299,True,1.2648 h,43,93.37605018173949,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-09-11 06:23:38.128659,True,1.2648 h,43,92.25722419214156,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 b,2020-08-19 07:05:53.441619,True,1.2648 h,43,93.3040588535878,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
L 98-59 d,2020-12-21 04:25:56.351984,True,0.9100007999999999 h,42,90.41643013866569,"(0.0, 0.0)",0.0,76.66666666666667,76.66666666666667
GJ 9827 d,2020-09-25 04:29:54.299829,True,1.2228 h,41,93.47570237149984,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 d,2020-06-30 08:48:16.429749,True,1.2228 h,41,93.8987474293443,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 d,2020-07-31 08:58:51.383349,True,1.2228 h,41,92.47211852293611,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
GJ 9827 d,2020-08-25 04:19:19.346229,True,1.2228 h,41,93.66492286444014,"(0.0, 0.0)",0.0,105.41666666666666,105.41666666666666
TOI-270 d,2020-12-14 04:00:54.719981,True,2.1479999999999997 h,35,92.99947956612279,"(0.0, 0.0)",0.0,220.0,220.0
HD 219666 b,2020-09-09 07:35:50.783994,True,2.1580008 h,35,90.80700452340362,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 d,2020-10-18 06:23:54.239981,True,2.1479999999999997 h,35,93.41372922849371,"(0.0, 0.0)",0.0,220.0,220.0
HD 219666 b,2020-08-16 04:08:04.991994,True,2.1580008 h,35,92.95662724631215,"(0.0, 0.0)",0.0,220.0,220.0
HD 219666 b,2020-08-22 05:00:01.439994,True,2.1580008 h,35,93.21799103160062,"(0.0, 0.0)",0.0,220.0,220.0
HD 219666 b,2020-08-28 05:51:57.887994,True,2.1580008 h,35,92.8599663810862,"(0.0, 0.0)",0.0,220.0,220.0
HD 219666 b,2020-09-03 06:43:54.335994,True,2.1580008 h,35,92.06357081671422,"(0.0, 0.0)",0.0,220.0,220.0
K2-233 c,2021-04-05 06:37:54.048007,True,2.6500008 h,32,93.64590583753423,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 c,2021-04-12 08:06:20.736007,True,2.6500008 h,32,91.72073523689642,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 c,2020-07-25 01:33:53.280007,True,2.6500008 h,32,91.34978830976252,"(0.0, 0.0)",0.0,290.0,290.0
Wolf 503 b,2020-06-13 00:34:08.543998,True,1.3210008 h,29,95.43105052794891,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2020-06-07 00:32:26.591998,True,1.3210008 h,29,95.4214565950964,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2020-06-25 00:37:32.447998,True,1.3210008 h,29,95.1490816336786,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2020-07-07 00:40:56.351998,True,1.3210008 h,29,94.39156944055786,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2020-07-13 00:42:38.303998,True,1.3210008 h,29,93.7336059596705,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2021-05-09 02:07:35.903998,True,1.3210008 h,29,95.32659814633723,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2021-05-03 02:05:53.951998,True,1.3210008 h,29,95.16593301583171,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2020-06-19 00:35:50.495998,True,1.3210008 h,29,95.30871668379852,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2021-04-21 02:02:30.047998,True,1.3210008 h,29,94.43272020867028,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2020-07-19 00:44:20.255998,True,1.3210008 h,29,93.18366950573034,"(0.0, 0.0)",0.0,160.0,160.0
Wolf 503 b,2021-05-15 02:09:17.855998,True,1.3210008 h,29,95.43499726594203,"(0.0, 0.0)",0.0,160.0,160.0
K2-3 b,2021-02-21 05:06:29.103988,True,2.7259992 h,28,93.35468960104555,"(0.0, 0.0)",0.0,350.0,350.0
TOI-270 c,2020-12-04 02:05:01.766392,True,1.6579992 h,27,92.96731242620629,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 c,2020-11-17 02:33:05.183992,True,1.6579992 h,27,92.5249314227114,"(0.0, 0.0)",0.0,220.0,220.0
WASP-107 b,2020-05-28 00:53:37.264005,True,2.7527999999999997 h,26,92.71349568225679,"(0.0, 0.0)",0.0,380.0,380.0
WASP-107 b,2021-04-19 03:53:31.216005,True,2.7527999999999997 h,26,92.31475600403942,"(0.0, 0.0)",0.0,380.0,380.0
WASP-107 b,2021-05-12 01:09:18.160005,True,2.7527999999999997 h,26,93.10889242426336,"(0.0, 0.0)",0.0,380.0,380.0
WASP-107 b,2021-02-15 05:25:07.120005,True,2.7527999999999997 h,25,93.02622128101788,"(0.0, 0.0)",0.0,380.0,390.0
WASP-80 b,2020-08-15 04:36:59.714932,True,2.1310008 h,24,91.6015038250276,"(0.0, 0.0)",0.0,310.0,310.0
K2-233 b,2021-05-14 07:03:21.600009,True,1.9690007999999999 h,24,90.75451720767268,"(0.0, 0.0)",0.0,290.0,290.0
K2-233 b,2021-05-19 05:29:38.688009,True,1.9690007999999999 h,24,92.5681721173282,"(0.0, 0.0)",0.0,290.0,290.0
