NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
WASP-126 b,0.284135,0.044951,3.2888,0,90,2456890.319,36,Maxted 2016,http://adsabs.harvard.edu/abs/2016A%26A...591A..55M,Maxted 2016,http://adsabs.harvard.edu/abs/2016A%26A...591A..55M
K2-137 b,,0.00482158,0.179715,0,90,2457583.024,,Smith 2018,http://adsabs.harvard.edu/abs/2018MNRAS.474.5523S,Smith 2018,http://adsabs.harvard.edu/abs/2018MNRAS.474.5523S
WASP-39 b,0.284135,0.0485835,4.055259,0,90,2455342.969,38,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F
WASP-127 b,0.204009,0.0555523,4.178062,0,90,2457248.741,21.5,Lam 2017,http://adsabs.harvard.edu/abs/2017A%26A...599A...3L,Lam 2017,http://adsabs.harvard.edu/abs/2017A%26A...599A...3L
K2-24 b,0.0723532,0.154139,20.8851,0.24,,,5.1,Petigura 2016,http://adsabs.harvard.edu/abs/2016ApJ...818...36P,Petigura 2016,http://adsabs.harvard.edu/abs/2016ApJ...818...36P
K2-110 b,0.0529276,0.102068,13.86375,0.079,90,,5.5,Osborn 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A..19O,Osborn 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A..19O
K2-138 e,,0.0780677,8.26144,0,90,2457740.645,,Christiansen 2018,http://adsabs.harvard.edu/abs/2018AJ....155...57C,Christiansen 2018,http://adsabs.harvard.edu/abs/2018AJ....155...57C
GJ 9827 c,0.00760583,0.0394192,3.648083,,,,1.39,Rodriguez 2018,http://adsabs.harvard.edu/abs/2018AJ....155...72R,Niraula 2017,http://adsabs.harvard.edu/abs/2017AJ....154..266N
HATS-7 b,0.119447,0.0401202,3.185315,0,90,2456528.297,18.4,Bakos 2015,http://adsabs.harvard.edu/abs/2015ApJ...813..111B,Bakos 2015,http://adsabs.harvard.edu/abs/2015ApJ...813..111B
WASP-107 b,0.116831,0.0553247,5.72149,0,90,2456514.411,17,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A
K2-138 c,,0.0445373,3.55987,0,90,2457740.322,,Christiansen 2018,http://adsabs.harvard.edu/abs/2018AJ....155...57C,Christiansen 2018,http://adsabs.harvard.edu/abs/2018AJ....155...57C
WASP-47 d,,0.0854327,9.03081,,,,,Becker 2015,http://adsabs.harvard.edu/abs/2015ApJ...812L..18B,Becker 2015,http://adsabs.harvard.edu/abs/2015ApJ...812L..18B
WASP-29 b,0.242938,0.0456587,3.922727,0.03,90,2455321.215,35.6,Hellier 2010,http://adsabs.harvard.edu/abs/2010ApJ...723L..60H,Hellier 2010,http://adsabs.harvard.edu/abs/2010ApJ...723L..60H
